,position,team,lat,lon,dtf,dist_mg,status,datetime,race
68,3,Qingdao,43.2125,-178.3109,2421.97,123,racing,4/10/18 0:00,pacific
69,4,Unicef,42.9214,-178.7797,2448.73,120,racing,4/10/18 0:00,pacific
70,5,Dare To Lead,43.2581,-179.286,2451.54,110,racing,4/10/18 0:00,pacific
71,6,Hotelplanner.com,44.0962,179.716,2466.65,114,racing,4/10/18 0:00,pacific
72,7,Garmin,43.2564,179.2852,2504.01,103,racing,4/10/18 0:00,pacific
73,8,Nasdaq,43.546,179.0688,2504.7,118,racing,4/10/18 0:00,pacific
74,9,Visit Seattle,45.1698,177.486,2551.71,118,racing,4/10/18 0:00,pacific
75,10,Liverpool 2018,43.3755,177.5214,2570.82,98,racing,4/10/18 0:00,pacific
76,11,GREAT Britain,44.746,174.8933,2671.18,101,racing,4/10/18 0:00,pacific
77,1,Sanya Serenity Coast,44.2867,-177.8723,2366.31,128,racing,4/10/18 1:00,pacific
78,2,PSP Logistics,44.501,-178.8543,2400.89,120,racing,4/10/18 1:00,pacific
79,3,Qingdao,43.2978,-178.083,2411.55,122,racing,4/10/18 1:00,pacific
80,4,Unicef,43.0146,-178.576,2438.56,119,racing,4/10/18 1:00,pacific
81,5,Dare To Lead,43.3076,-179.0426,2441.35,111,racing,4/10/18 1:00,pacific
82,6,Hotelplanner.com,43.9511,179.9203,2461.27,121,racing,4/10/18 1:00,pacific
83,7,Nasdaq,43.6512,179.2942,2493.19,118,racing,4/10/18 1:00,pacific
84,8,Garmin,43.3374,179.4554,2495.15,101,racing,4/10/18 1:00,pacific
85,9,Visit Seattle,45.0608,177.7065,2542.47,113,racing,4/10/18 1:00,pacific
86,10,Liverpool 2018,43.4574,177.7185,2561.03,98,racing,4/10/18 1:00,pacific
87,11,GREAT Britain,44.6636,175.0884,2661.93,103,racing,4/10/18 1:00,pacific
88,1,Sanya Serenity Coast,44.3685,-177.6361,2355.06,128,racing,4/10/18 2:00,pacific
89,2,PSP Logistics,44.375,-178.6488,2394.69,113,racing,4/10/18 2:00,pacific
90,3,Qingdao,43.3783,-177.8433,2401.16,123,racing,4/10/18 2:00,pacific
91,4,Unicef,43.0664,-178.3418,2429.46,118,racing,4/10/18 2:00,pacific
92,5,Dare To Lead,43.3568,-178.7874,2430.89,113,racing,4/10/18 2:00,pacific
93,6,Hotelplanner.com,43.8504,-179.885,2455.81,121,racing,4/10/18 2:00,pacific
94,7,Nasdaq,43.7256,179.5319,2481.96,119,racing,4/10/18 2:00,pacific
95,8,Garmin,43.4247,179.6455,2485.37,99,racing,4/10/18 2:00,pacific
96,9,Visit Seattle,44.9514,177.9161,2533.82,110,racing,4/10/18 2:00,pacific
97,10,Liverpool 2018,43.5209,177.9211,2551.43,98,racing,4/10/18 2:00,pacific
98,11,GREAT Britain,44.5656,175.2669,2648.28,105,racing,4/10/18 2:00,pacific
99,1,Sanya Serenity Coast,44.4513,-177.4222,2344.63,127,racing,4/10/18 3:00,pacific
